date,province,country,lat,long,type,cases,cumu_cases
2020-04-14,NA,China,30.0572,107.874,confirmed,0,2163
2020-04-15,NA,China,30.0572,107.874,confirmed,0,2163
2020-04-16,NA,China,30.0572,107.874,confirmed,0,2163
2020-04-17,NA,China,30.0572,107.874,confirmed,0,2163
2020-04-18,NA,China,30.0572,107.874,confirmed,0,2163
2020-04-19,NA,China,30.0572,107.874,confirmed,0,2163
2020-04-20,NA,China,30.0572,107.874,confirmed,0,2163
2020-04-21,NA,China,30.0572,107.874,confirmed,0,2163
2020-04-22,NA,China,30.0572,107.874,confirmed,0,2163
2020-04-23,NA,China,30.0572,107.874,confirmed,0,2163
2020-04-24,NA,China,30.0572,107.874,confirmed,0,2163
2020-04-25,NA,China,30.0572,107.874,confirmed,0,2163
2020-04-26,NA,China,30.0572,107.874,confirmed,0,2163
2020-04-27,NA,China,30.0572,107.874,confirmed,0,2163
2020-04-28,NA,China,30.0572,107.874,confirmed,0,2163
2020-04-29,NA,China,30.0572,107.874,confirmed,0,2163
2020-04-30,NA,China,30.0572,107.874,confirmed,0,2163
2020-05-01,NA,China,30.0572,107.874,confirmed,0,2163
2020-05-02,NA,China,30.0572,107.874,confirmed,0,2163
2020-05-03,NA,China,30.0572,107.874,confirmed,0,2163
2020-05-04,NA,China,30.0572,107.874,confirmed,0,2163
2020-05-05,NA,China,30.0572,107.874,confirmed,0,2163
2020-05-06,NA,China,30.0572,107.874,confirmed,0,2163
2020-05-07,NA,China,30.0572,107.874,confirmed,0,2163
2020-05-08,NA,China,30.0572,107.874,confirmed,0,2163
2020-05-09,NA,China,30.0572,107.874,confirmed,0,2163
2020-05-10,NA,China,30.0572,107.874,confirmed,0,2163
2020-05-11,NA,China,30.0572,107.874,confirmed,0,2163
2020-05-12,NA,China,30.0572,107.874,confirmed,0,2163
2020-05-13,NA,China,30.0572,107.874,confirmed,0,2163
2020-01-22,NA,China,26.0789,117.9874,confirmed,1,2164
2020-01-23,NA,China,26.0789,117.9874,confirmed,4,2168
2020-01-24,NA,China,26.0789,117.9874,confirmed,5,2173
2020-01-25,NA,China,26.0789,117.9874,confirmed,8,2181
2020-01-26,NA,China,26.0789,117.9874,confirmed,17,2198
2020-01-27,NA,China,26.0789,117.9874,confirmed,24,2222
2020-01-28,NA,China,26.0789,117.9874,confirmed,21,2243
2020-01-29,NA,China,26.0789,117.9874,confirmed,4,2247
2020-01-30,NA,China,26.0789,117.9874,confirmed,17,2264
2020-01-31,NA,China,26.0789,117.9874,confirmed,19,2283
2020-02-01,NA,China,26.0789,117.9874,confirmed,24,2307
2020-02-02,NA,China,26.0789,117.9874,confirmed,15,2322
2020-02-03,NA,China,26.0789,117.9874,confirmed,20,2342
2020-02-04,NA,China,26.0789,117.9874,confirmed,15,2357
2020-02-05,NA,China,26.0789,117.9874,confirmed,11,2368
2020-02-06,NA,China,26.0789,117.9874,confirmed,10,2378
2020-02-07,NA,China,26.0789,117.9874,confirmed,9,2387
2020-02-08,NA,China,26.0789,117.9874,confirmed,15,2402
2020-02-09,NA,China,26.0789,117.9874,confirmed,11,2413
2020-02-10,NA,China,26.0789,117.9874,confirmed,11,2424
2020-02-11,NA,China,26.0789,117.9874,confirmed,6,2430
2020-02-12,NA,China,26.0789,117.9874,confirmed,5,2435
2020-02-13,NA,China,26.0789,117.9874,confirmed,7,2442
2020-02-14,NA,China,26.0789,117.9874,confirmed,2,2444
2020-02-15,NA,China,26.0789,117.9874,confirmed,4,2448
2020-02-16,NA,China,26.0789,117.9874,confirmed,2,2450
2020-02-17,NA,China,26.0789,117.9874,confirmed,3,2453
2020-02-18,NA,China,26.0789,117.9874,confirmed,2,2455
2020-02-19,NA,China,26.0789,117.9874,confirmed,1,2456
2020-02-20,NA,China,26.0789,117.9874,confirmed,0,2456
2020-02-21,NA,China,26.0789,117.9874,confirmed,0,2456
2020-02-22,NA,China,26.0789,117.9874,confirmed,0,2456
2020-02-23,NA,China,26.0789,117.9874,confirmed,0,2456
2020-02-24,NA,China,26.0789,117.9874,confirmed,0,2456
2020-02-25,NA,China,26.0789,117.9874,confirmed,1,2457
2020-02-26,NA,China,26.0789,117.9874,confirmed,0,2457
2020-02-27,NA,China,26.0789,117.9874,confirmed,2,2459
2020-02-28,NA,China,26.0789,117.9874,confirmed,0,2459
2020-02-29,NA,China,26.0789,117.9874,confirmed,0,2459
2020-03-01,NA,China,26.0789,117.9874,confirmed,0,2459
2020-03-02,NA,China,26.0789,117.9874,confirmed,0,2459
2020-03-03,NA,China,26.0789,117.9874,confirmed,0,2459
2020-03-04,NA,China,26.0789,117.9874,confirmed,0,2459
2020-03-05,NA,China,26.0789,117.9874,confirmed,0,2459
2020-03-06,NA,China,26.0789,117.9874,confirmed,0,2459
2020-03-07,NA,China,26.0789,117.9874,confirmed,0,2459
2020-03-08,NA,China,26.0789,117.9874,confirmed,0,2459
2020-03-09,NA,China,26.0789,117.9874,confirmed,0,2459
2020-03-10,NA,China,26.0789,117.9874,confirmed,0,2459
2020-03-11,NA,China,26.0789,117.9874,confirmed,0,2459
2020-03-12,NA,China,26.0789,117.9874,confirmed,0,2459
2020-03-13,NA,China,26.0789,117.9874,confirmed,0,2459
2020-03-14,NA,China,26.0789,117.9874,confirmed,0,2459
2020-03-15,NA,China,26.0789,117.9874,confirmed,0,2459
2020-03-16,NA,China,26.0789,117.9874,confirmed,0,2459
2020-03-17,NA,China,26.0789,117.9874,confirmed,0,2459
2020-03-18,NA,China,26.0789,117.9874,confirmed,0,2459
2020-03-19,NA,China,26.0789,117.9874,confirmed,0,2459
2020-03-20,NA,China,26.0789,117.9874,confirmed,3,2462
2020-03-21,NA,China,26.0789,117.9874,confirmed,4,2466
2020-03-22,NA,China,26.0789,117.9874,confirmed,10,2476
2020-03-23,NA,China,26.0789,117.9874,confirmed,0,2476
2020-03-24,NA,China,26.0789,117.9874,confirmed,5,2481
2020-03-25,NA,China,26.0789,117.9874,confirmed,4,2485
2020-03-26,NA,China,26.0789,117.9874,confirmed,6,2491
2020-03-27,NA,China,26.0789,117.9874,confirmed,3,2494
2020-03-28,NA,China,26.0789,117.9874,confirmed,6,2500
2020-03-29,NA,China,26.0789,117.9874,confirmed,1,2501
2020-03-30,NA,China,26.0789,117.9874,confirmed,2,2503
2020-03-31,NA,China,26.0789,117.9874,confirmed,3,2506
2020-04-01,NA,China,26.0789,117.9874,confirmed,2,2508
2020-04-02,NA,China,26.0789,117.9874,confirmed,0,2508
2020-04-03,NA,China,26.0789,117.9874,confirmed,4,2512
2020-04-04,NA,China,26.0789,117.9874,confirmed,1,2513
2020-04-05,NA,China,26.0789,117.9874,confirmed,0,2513
2020-04-06,NA,China,26.0789,117.9874,confirmed,0,2513
2020-04-07,NA,China,26.0789,117.9874,confirmed,1,2514
2020-04-08,NA,China,26.0789,117.9874,confirmed,0,2514
2020-04-09,NA,China,26.0789,117.9874,confirmed,0,2514
2020-04-10,NA,China,26.0789,117.9874,confirmed,0,2514
2020-04-11,NA,China,26.0789,117.9874,confirmed,0,2514
2020-04-12,NA,China,26.0789,117.9874,confirmed,1,2515
2020-04-13,NA,China,26.0789,117.9874,confirmed,0,2515
2020-04-14,NA,China,26.0789,117.9874,confirmed,1,2516
2020-04-15,NA,China,26.0789,117.9874,confirmed,0,2516
2020-04-16,NA,China,26.0789,117.9874,confirmed,0,2516
2020-04-17,NA,China,26.0789,117.9874,confirmed,1,2517
2020-04-18,NA,China,26.0789,117.9874,confirmed,1,2518
2020-04-19,NA,China,26.0789,117.9874,confirmed,0,2518
2020-04-20,NA,China,26.0789,117.9874,confirmed,0,2518
2020-04-21,NA,China,26.0789,117.9874,confirmed,0,2518
2020-04-22,NA,China,26.0789,117.9874,confirmed,0,2518
2020-04-23,NA,China,26.0789,117.9874,confirmed,0,2518
2020-04-24,NA,China,26.0789,117.9874,confirmed,0,2518
2020-04-25,NA,China,26.0789,117.9874,confirmed,0,2518
2020-04-26,NA,China,26.0789,117.9874,confirmed,0,2518
2020-04-27,NA,China,26.0789,117.9874,confirmed,0,2518
2020-04-28,NA,China,26.0789,117.9874,confirmed,0,2518
2020-04-29,NA,China,26.0789,117.9874,confirmed,0,2518
2020-04-30,NA,China,26.0789,117.9874,confirmed,1,2519
2020-05-01,NA,China,26.0789,117.9874,confirmed,0,2519
